constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
starlink,550,isls,1584,1588,Frankfurt,Rome,4.08 ms,4.08 ms,7.86 ms,8.16 ms,8.70 ms,0.24 ms,199992/200000 (100%)
starlink,550,isls,1591,1592,Helsinki,Moscow,6.33 ms,6.33 ms,11.80 ms,12.67 ms,18.25 ms,0.75 ms,199988/200000 (100%)
telesat,1015,isls,351,354,Frankfurt,London,7.87 ms,7.87 ms,14.81 ms,15.74 ms,17.43 ms,0.64 ms,199986/200000 (100%)
starlink,550,isls,1584,1590,Frankfurt,Venice,4.14 ms,4.14 ms,7.98 ms,8.29 ms,8.84 ms,0.24 ms,199992/200000 (100%)
starlink,550,isls,1584,1589,Frankfurt,Barcelona,5.20 ms,5.20 ms,10.22 ms,10.41 ms,10.74 ms,0.13 ms,199990/200000 (100%)
telesat,1015,isls,352,356,Munich,Barcelona,8.16 ms,8.16 ms,15.69 ms,16.31 ms,17.97 ms,0.56 ms,199985/200000 (100%)
kuiper,630,isls,1160,1161,Rome,Barcelona,5.48 ms,5.48 ms,10.68 ms,10.97 ms,11.39 ms,0.20 ms,199990/200000 (100%)
kuiper,630,isls,1158,1164,Amsterdam,Moscow,10.68 ms,10.68 ms,20.63 ms,21.36 ms,25.06 ms,0.65 ms,199979/200000 (100%)
starlink,550,isls,1586,1587,Amsterdam,London,3.74 ms,3.74 ms,7.31 ms,7.49 ms,7.81 ms,0.11 ms,199993/200000 (100%)
kuiper,630,isls,1156,1161,Frankfurt,Barcelona,5.92 ms,5.92 ms,11.41 ms,11.85 ms,12.94 ms,0.44 ms,199988/200000 (100%)
telesat,1015,isls,355,359,Rome,Moscow,11.40 ms,11.40 ms,21.23 ms,22.80 ms,23.76 ms,0.68 ms,199979/200000 (100%)
kuiper,630,isls,1159,1163,London,Helsinki,11.06 ms,11.06 ms,21.12 ms,22.11 ms,32.71 ms,1.19 ms,173967/200000 (87%)
starlink,550,isls,1585,1589,Munich,Barcelona,5.18 ms,5.18 ms,10.03 ms,10.36 ms,11.03 ms,0.23 ms,199990/200000 (100%)
telesat,1015,isls,353,355,Amsterdam,Rome,7.85 ms,7.85 ms,15.11 ms,15.70 ms,17.83 ms,0.72 ms,199985/200000 (100%)
kuiper,630,isls,1156,1158,Frankfurt,Amsterdam,4.57 ms,4.57 ms,8.85 ms,9.13 ms,10.10 ms,0.33 ms,199992/200000 (100%)
telesat,1015,isls,355,357,Rome,Venice,7.11 ms,7.11 ms,13.73 ms,14.22 ms,15.40 ms,0.38 ms,199986/200000 (100%)
kuiper,630,isls,1157,1161,Munich,Barcelona,5.79 ms,5.79 ms,11.23 ms,11.58 ms,12.50 ms,0.33 ms,199989/200000 (100%)
kuiper,630,isls,1156,1159,Frankfurt,London,4.90 ms,4.90 ms,9.58 ms,9.81 ms,10.51 ms,0.24 ms,199991/200000 (100%)
telesat,1015,isls,351,352,Frankfurt,Munich,7.19 ms,7.19 ms,13.81 ms,14.37 ms,16.44 ms,0.67 ms,199986/200000 (100%)
kuiper,630,isls,1158,1161,Amsterdam,Barcelona,6.41 ms,6.41 ms,12.12 ms,12.81 ms,17.18 ms,0.64 ms,199986/200000 (100%)
starlink,550,isls,1585,1592,Munich,Moscow,8.31 ms,8.31 ms,16.06 ms,16.62 ms,22.48 ms,0.70 ms,199984/200000 (100%)
kuiper,630,isls,1159,1164,London,Moscow,11.53 ms,11.53 ms,22.16 ms,23.05 ms,26.51 ms,1.00 ms,199978/200000 (100%)
starlink,550,isls,1584,1587,Frankfurt,London,4.16 ms,4.16 ms,8.20 ms,8.32 ms,8.54 ms,0.10 ms,199992/200000 (100%)
starlink,550,isls,1587,1590,London,Venice,5.35 ms,5.35 ms,10.47 ms,10.69 ms,11.09 ms,0.16 ms,199990/200000 (100%)
starlink,550,isls,1587,1591,London,Helsinki,9.79 ms,9.79 ms,16.80 ms,19.58 ms,23.02 ms,1.43 ms,199983/200000 (100%)
