abbreviation_source,abbreviation_destination,min,avg,max,mdev,Distance,Expected_Latency,min_global
NY,Bar,98.12616666666666,98.39883333333334,99.411,0.435625,6138.515434637303,61.38515434637302,98.044
NY,Bog,95.414125,95.56204166666667,96.49133333333333,0.37754166666666666,4017.56497757529,40.1756497757529,92.722
NY,Cai,124.79208333333332,125.75479166666666,129.48866666666666,1.0445,8994.158307390066,89.94158307390065,124.531
NY,LA,73.8195909090909,74.36777272727272,81.339,1.540409090909091,3965.5292066949714,39.65529206694972,72.797
NY,Mad,81.94566666666667,82.12154166666666,83.3625,0.4812083333333333,5742.340967503533,57.42340967503534,81.917
NY,Mx,68.53566666666667,68.68979166666666,70.49391666666666,0.5555833333333333,3384.2476660968787,33.842476660968785,66.968
NY,Riy,150.68258333333333,151.93066666666667,155.84066666666666,1.3510833333333334,10494.057270140156,104.94057270140156,150.547
NY,Syd,210.00683333333333,210.14454166666667,210.92945833333332,0.4984166666666667,16018.85622527635,160.1885622527635,209.395
NY,Tok,176.44204166666668,176.593875,177.87383333333332,0.5498333333333333,10858.773186345728,108.5877318634573,176.379
Riy,Bar,95.07429166666667,95.92770833333333,98.66375,0.8790416666666667,4491.604771960388,44.916047719603874,94.926
Riy,Bog,232.47320833333333,233.19629166666667,236.11841666666666,0.9602499999999999,12842.442572738297,128.42442572738295,232.052
Riy,Cai,115.297125,116.74683333333333,121.33045833333334,1.4168333333333332,1642.6674502660626,16.426674502660624,114.848
Riy,LA,209.31708333333333,210.00145833333332,212.65445833333334,0.9327916666666667,13298.864361197042,132.98864361197045,206.54
Riy,Mad,94.6965,95.39908333333334,98.30308333333333,0.9107500000000001,4965.073837755142,49.65073837755143,94.637
Riy,Mx,213.344875,213.9585,216.24858333333336,0.8311666666666667,13877.208669224092,138.77208669224092,211.71
Riy,NY,150.77,151.513625,153.755125,0.8372083333333333,10494.057270140156,104.94057270140156,150.656
Riy,Syd,256.1479166666667,256.86995833333333,259.57979166666667,0.9372916666666667,12777.13062004499,127.77130620044993,256.047
Riy,Tok,278.39,278.856,280.905,0.873,8699.700932714302,86.99700932714302,278.39
Syd,Bar,245.15441666666666,245.38875,246.2915416666667,0.5615833333333333,17180.445439004,171.80445439003998,245.111
Syd,Bog,278.19730434782605,278.3614347826087,279.23686956521743,0.5250869565217391,14325.137379627364,143.25137379627364,278.113
Syd,LA,162.49061904761905,162.77361904761906,163.55442857142856,0.4939047619047619,12073.608834719364,120.73608834719364,162.43
Syd,Mad,244.65633333333335,245.083125,247.101375,0.793625,17683.193357491633,176.83193357491632,244.634
Syd,Mx,197.25512500000002,199.82883333333334,204.12445833333334,2.3429166666666665,12972.934583504311,129.72934583504312,187.014
Syd,NY,210.0145,210.1285,210.79566666666665,0.43495833333333334,16018.85622527635,160.1885622527635,209.403
Syd,Riy,256.07483333333334,257.3328333333333,261.2452083333333,1.4440833333333334,12777.13062004499,127.77130620044993,255.993
Syd,Tok,230.967125,231.1401666666667,232.34954166666668,0.5038333333333334,7824.682116691972,78.24682116691972,230.863
Tok,Bar,212.82258333333334,213.21279166666667,217.504875,1.0690416666666667,10417.899263923953,104.17899263923954,212.684
Tok,Bog,244.52516666666668,244.69004166666664,245.90824999999998,0.5655416666666667,14314.540668297313,143.14540668297315,244.444
Tok,Cai,271.44716666666665,272.469125,275.6974166666667,1.0879999999999999,9570.117323686782,95.70117323686782,271.186
Tok,LA,115.94329166666667,116.178625,116.45762500000001,0.3545833333333333,8810.343344564402,88.10343344564403,115.881
Tok,Mad,216.69845833333332,216.799,217.2964166666667,0.46970833333333334,10766.61392817648,107.66613928176481,216.351
Tok,Mx,166.35025,166.506625,167.00025,0.47070833333333334,11300.688978331318,113.00688978331318,165.043
Tok,NY,176.44079166666666,176.5585,176.93875,0.41900000000000004,10858.773186345728,108.5877318634573,176.375
Tok,Riy,278.5745,279.913,282.9515,1.4144999999999999,8699.700932714302,86.99700932714302,278.564
Tok,Syd,230.932375,231.07220833333335,231.872625,0.530875,7824.682116691972,78.24682116691972,230.905
