constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
telesat,1015,isls,354,358,Los-Angeles,Cairo,45.71 ms,45.71 ms,91.28 ms,91.41 ms,91.44 ms,0.03 ms,199909/200000 (100%)
telesat,1015,isls,356,358,Mexico-City,Cairo,51.10 ms,51.10 ms,101.11 ms,102.19 ms,103.77 ms,0.78 ms,199899/200000 (100%)
starlink,550,isls,1589,1592,Mexico-City,Tokyo,43.77 ms,43.77 ms,83.75 ms,87.54 ms,94.51 ms,1.15 ms,199911/200000 (100%)
telesat,1015,isls,360,352,Sidney,Barcelona,68.97 ms,68.97 ms,135.58 ms,137.93 ms,142.14 ms,1.14 ms,199865/200000 (100%)
kuiper,630,isls,1164,1158,Tokyo,Riyadh,36.12 ms,36.12 ms,71.25 ms,72.24 ms,77.22 ms,1.41 ms,199929/200000 (100%)
starlink,550,isls,1592,1584,Tokyo,Madrid,51.44 ms,51.44 ms,98.92 ms,102.88 ms,110.12 ms,4.15 ms,199902/200000 (100%)
telesat,1015,isls,353,352,Riyadh,Barcelona,17.53 ms,17.53 ms,34.88 ms,35.05 ms,35.56 ms,0.16 ms,199965/200000 (100%)
kuiper,630,isls,1162,1160,Bogota,New-York,27.72 ms,27.72 ms,47.18 ms,55.44 ms,59.05 ms,1.18 ms,199953/200000 (100%)
telesat,1015,isls,359,355,Tokyo,New-York,39.17 ms,39.17 ms,77.03 ms,78.33 ms,83.09 ms,1.57 ms,199920/200000 (100%)
telesat,1015,isls,354,357,Los-Angeles,Bogota,21.17 ms,21.16 ms,42.19 ms,42.33 ms,42.74 ms,0.14 ms,199958/200000 (100%)
kuiper,630,isls,1161,1162,Mexico-City,Bogota,15.11 ms,15.11 ms,29.54 ms,30.22 ms,36.30 ms,1.19 ms,199971/200000 (100%)
kuiper,630,isls,1158,1162,Riyadh,Bogota,53.86 ms,53.86 ms,105.47 ms,107.73 ms,110.05 ms,0.93 ms,199893/200000 (100%)
kuiper,630,isls,1159,1160,Los-Angeles,New-York,17.00 ms,17.00 ms,32.74 ms,33.99 ms,37.27 ms,1.21 ms,199968/200000 (100%)
telesat,1015,isls,354,352,Los-Angeles,Barcelona,34.65 ms,34.65 ms,69.19 ms,69.30 ms,69.65 ms,0.11 ms,199931/200000 (100%)
starlink,550,isls,1585,1591,Barcelona,Cairo,12.88 ms,12.88 ms,22.36 ms,25.75 ms,33.36 ms,2.27 ms,199978/200000 (100%)
starlink,550,isls,1593,1590,Sidney,Bogota,59.23 ms,59.24 ms,108.23 ms,118.48 ms,127.44 ms,7.37 ms,199874/200000 (100%)
telesat,1015,isls,358,355,Cairo,New-York,32.57 ms,32.57 ms,65.06 ms,65.13 ms,65.48 ms,0.11 ms,199935/200000 (100%)
telesat,1015,isls,352,353,Barcelona,Riyadh,17.53 ms,17.53 ms,34.88 ms,35.05 ms,35.56 ms,0.16 ms,199965/200000 (100%)
telesat,1015,isls,354,353,Los-Angeles,Riyadh,48.87 ms,48.87 ms,96.75 ms,97.73 ms,99.33 ms,0.87 ms,199903/200000 (100%)
starlink,550,isls,1588,1592,New-York,Tokyo,51.79 ms,51.79 ms,99.80 ms,103.58 ms,110.62 ms,4.61 ms,199890/200000 (100%)
starlink,550,isls,1588,1589,New-York,Mexico-City,14.26 ms,14.26 ms,25.77 ms,28.52 ms,39.70 ms,2.65 ms,199974/200000 (100%)
telesat,1015,isls,353,358,Riyadh,Cairo,10.44 ms,10.44 ms,18.54 ms,20.88 ms,23.15 ms,1.26 ms,199982/200000 (100%)
starlink,550,isls,1584,1591,Madrid,Cairo,16.17 ms,16.17 ms,27.11 ms,32.34 ms,36.80 ms,2.17 ms,199966/200000 (100%)
starlink,550,isls,1588,1586,New-York,Riyadh,39.54 ms,39.54 ms,77.54 ms,79.08 ms,87.69 ms,2.16 ms,199917/200000 (100%)
telesat,1015,isls,358,351,Cairo,Madrid,14.11 ms,14.11 ms,27.77 ms,28.21 ms,29.15 ms,0.37 ms,199971/200000 (100%)
starlink,550,isls,1592,1590,Tokyo,Bogota,54.12 ms,54.12 ms,104.60 ms,108.25 ms,113.70 ms,2.37 ms,199891/200000 (100%)
telesat,1015,isls,356,360,Mexico-City,Sidney,52.04 ms,52.05 ms,94.52 ms,104.09 ms,107.88 ms,4.43 ms,199893/200000 (100%)
starlink,550,isls,1585,1593,Barcelona,Sidney,66.41 ms,66.42 ms,129.67 ms,132.83 ms,143.11 ms,4.93 ms,199871/200000 (100%)
telesat,1015,isls,360,353,Sidney,Riyadh,51.77 ms,51.78 ms,94.89 ms,103.55 ms,105.33 ms,2.61 ms,199895/200000 (100%)
starlink,550,isls,1585,1588,Barcelona,New-York,25.28 ms,25.28 ms,49.29 ms,50.56 ms,60.11 ms,0.37 ms,199950/200000 (100%)
telesat,1015,isls,355,352,New-York,Barcelona,23.16 ms,23.16 ms,46.05 ms,46.32 ms,47.12 ms,0.29 ms,199954/200000 (100%)
kuiper,630,isls,1165,1163,Sidney,Cairo,58.32 ms,58.31 ms,115.62 ms,116.63 ms,120.26 ms,1.50 ms,199885/200000 (100%)
telesat,1015,isls,354,355,Los-Angeles,New-York,16.04 ms,16.04 ms,31.42 ms,32.08 ms,32.82 ms,0.36 ms,199969/200000 (100%)
kuiper,630,isls,1158,1159,Riyadh,Los-Angeles,53.94 ms,53.94 ms,105.27 ms,107.88 ms,109.96 ms,1.58 ms,199892/200000 (100%)
starlink,550,isls,1593,1588,Sidney,New-York,71.84 ms,71.83 ms,135.51 ms,143.67 ms,153.44 ms,6.43 ms,199854/200000 (100%)
kuiper,630,isls,1158,1160,Riyadh,New-York,40.83 ms,40.82 ms,80.76 ms,81.65 ms,87.13 ms,1.45 ms,199920/200000 (100%)
starlink,550,isls,1590,1585,Bogota,Barcelona,40.22 ms,40.22 ms,74.77 ms,80.44 ms,87.19 ms,5.01 ms,199913/200000 (100%)
telesat,1015,isls,355,360,New-York,Sidney,67.31 ms,67.31 ms,130.89 ms,134.62 ms,139.20 ms,2.32 ms,199868/200000 (100%)
telesat,1015,isls,354,351,Los-Angeles,Madrid,33.75 ms,33.75 ms,67.31 ms,67.50 ms,67.82 ms,0.15 ms,199933/200000 (100%)
starlink,550,isls,1593,1586,Sidney,Riyadh,64.59 ms,64.59 ms,127.86 ms,129.17 ms,140.86 ms,2.95 ms,199860/200000 (100%)
starlink,550,isls,1591,1589,Cairo,Mexico-City,47.94 ms,47.93 ms,91.71 ms,95.87 ms,106.27 ms,4.57 ms,199906/200000 (100%)
starlink,550,isls,1589,1586,Mexico-City,Riyadh,51.38 ms,51.38 ms,101.90 ms,102.76 ms,111.35 ms,0.68 ms,199898/200000 (100%)
starlink,550,isls,1590,1591,Bogota,Cairo,68.54 ms,68.55 ms,131.93 ms,137.09 ms,145.68 ms,6.00 ms,199855/200000 (100%)
starlink,550,isls,1592,1587,Tokyo,Los-Angeles,34.81 ms,34.81 ms,66.62 ms,69.62 ms,76.05 ms,3.23 ms,199925/200000 (100%)
kuiper,630,isls,1158,1165,Riyadh,Sidney,52.11 ms,52.11 ms,102.16 ms,104.21 ms,107.75 ms,1.48 ms,199896/200000 (100%)
